,album,artist,genre,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,track_id,index,energy_level,positivity_level
14,Please Don't Go,Joel Adams,Pop,Please Don't Go,0.0118,0.513,210580,0.768,1.9399999999999997e-05,4,0.294,-4.868,0,0.0587,84.264,4,0.235,Cool,3cNjgVBKTJ1SvKhunrCdVy,Cool,-1.0,-1.0
15,Issues,Julia Michaels,Pop,Issues,0.41600000000000004,0.7040000000000001,176347,0.423,0.0,8,0.0607,-6.792000000000001,1,0.0862,113.962,4,0.451,Sensual,6AeQlMyRzvSl1nkFztZyKl,Sensual,0.0,0.0
16,Too Good At Goodbyes,Sam Smith,Pop,Too Good At Goodbyes,0.618,0.515,201000,0.37799999999999995,0.0,5,0.172,-8.264,1,0.065,91.883,4,0.536,Sophisticated,7oAraczbemGSNWqnbkU87R,Sophisticated,-1.0,0.0
17,Midnight Memories (Deluxe),One Direction,Pop,Story of My Life,0.225,0.6,245493,0.6629999999999999,0.0,3,0.11900000000000001,-5.8020000000000005,1,0.0477,121.07,4,0.28600000000000003,Empowering,4nVBt6MZDDP6tRVdQTgxJg,Empowering,0.0,1.0
18,x (Deluxe Edition),Ed Sheeran,Pop,Thinking Out Loud,0.474,0.7809999999999999,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,4,0.591,,34gCuhDGsG4bRPIf9bb02f,,,
19,We Sing. We Dance. We Steal Things.,Jason Mraz,Pop,I'm Yours,0.595,0.6859999999999999,242187,0.457,0.0,11,0.105,-8.322000000000001,1,0.0468,150.953,4,0.718,Cool,1EzrEOXmMH3G43AXT1y7pA,Cool,-1.0,-1.0
20,21,Adele,Pop,Someone Like You,0.892,0.5589999999999999,285040,0.33,0.0,9,0.0975,-8.251,1,0.0285,135.109,4,0.285,Sophisticated,4kflIGfjdZJW4ot2ioixTB,Sophisticated,-1.0,0.0
21,All The Little Lights,Passenger,Pop,Let Her Go,0.385,0.509,252867,0.5379999999999999,0.0,7,0.10400000000000001,-7.335,1,0.0572,75.089,4,0.244,Yearning,7DFNE7NO0raLIUbgzY2rzm,Yearning,0.0,-1.0
22,Good Girl Gone Bad: Reloaded,Rihanna,Pop,Take A Bow,0.242,0.705,229413,0.469,0.0,9,0.10400000000000001,-7.46,1,0.0771,82.009,4,0.552,Sensual,3goSVuTt3fDYDP6kRnFwuL,Sensual,0.0,0.0
23,#3 Deluxe Version,The Script,Pop,Hall of Fame,0.0653,0.42100000000000004,202533,0.873,0.0,10,0.12300000000000001,-4.343,1,0.0565,84.803,4,0.63,,7wMq5n8mYSKlQIGECKUgTX,,,
24,Back To Bedlam (U.S. Amended),James Blunt,Pop,You're Beautiful,0.603,0.679,213053,0.54,1.7e-05,0,0.0905,-7.457000000000001,0,0.026000000000000002,81.971,4,0.449,Empowering,6GU19qDSbCWw5HKwfYTgVq,Empowering,0.0,1.0
25,Love Yourself,Justin Bieber,Pop,Love Yourself,0.8590000000000001,0.795,233747,0.37799999999999995,0.0,4,0.204,-9.979,1,0.316,100.227,4,0.5760000000000001,Energizing,4qug3gWrzeTNm0GhOkugJV,Energizing,2.0,0.0
26,Love In The Future,John Legend,Pop,All of Me,0.922,0.42200000000000004,269560,0.264,0.0,8,0.132,-7.064,1,0.0322,119.93,4,0.331,Sophisticated,3U4isOIWM3VvDubwSI3y7a,Sophisticated,-1.0,0.0
27,Just The Way You Are,Bruno Mars,Pop,Just The Way You Are,0.0151,0.637,220733,0.843,0.0,5,0.0876,-5.412999999999999,1,0.0432,109.012,4,0.434,Cool,24lMtPOCzP5g4hrg3NklLa,Cool,-1.0,-1.0
28,÷ (Deluxe),Ed Sheeran,Pop,Dive,0.355,0.7609999999999999,238440,0.386,0.0,4,0.0953,-6.1579999999999995,1,0.0399,134.94299999999998,3,0.526,Sensual,51ChrwmUPDJvedPQnIU8Ls,Sensual,0.0,0.0
29,La La Land (Original Motion Picture Soundtrack),Ryan Gosling,Pop,"City Of Stars - From ""La La Land"" Soundtrack",0.9059999999999999,0.474,149707,0.121,1.16e-06,2,0.0885,-15.127,0,0.0384,97.219,4,0.424,Brooding,6XQHlsNu6so4PdglFkJQRJ,Brooding,1.0,-2.0
30,Hozier,Hozier,Pop,Take Me to Church,0.634,0.5660000000000001,241693,0.664,0.0,4,0.11599999999999999,-5.303,0,0.0464,128.945,4,0.43700000000000006,Sophisticated,0aOluBqXYd0rFSCsgDyAWX,Sophisticated,-1.0,0.0
31,What About Us,P!nk,Pop,What About Us,0.0254,0.386,271520,0.594,3.03e-06,1,0.0873,-6.186,1,0.0565,113.84299999999999,4,0.187,,31MkGwj0SWgZaTvEt5Hgxv,,,
32,Naked,James Arthur,Pop,Naked,0.10400000000000001,0.529,234107,0.607,0.0,6,0.0631,-6.781000000000001,1,0.0574,101.96600000000001,4,0.23800000000000002,Melancholy,7krbSH3rd8lhIZvuzTV3Bl,Melancholy,-2.0,-1.0
33,A Rush Of Blood To The Head,Coldplay,Pop,The Scientist,0.727,0.56,309600,0.442,1.7100000000000002e-05,5,0.11,-7.224,1,0.0243,146.44799999999998,4,0.212,Romantic,75JFxkI2RXiU7L9VXzMkle,Romantic,-1.0,1.0
34,"Heaven [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",Julia Michaels,Pop,Heaven,0.863,0.544,191813,0.379,0.0,7,0.083,-9.113,0,0.0412,199.75599999999997,3,0.322,,4QfNOZN7vrQCQKK1ZJ3XPb,,,
35,Lost Boy,Ruth B.,Pop,Lost Boy,0.965,0.71,275280,0.0565,0.0,7,0.0889,-15.099,1,0.0534,123.994,4,0.348,,4h0zU3O9R5xzuTmNO7dNDU,,,
36,Pray,Sam Smith,Pop,Pray,0.282,0.46299999999999997,221596,0.38799999999999996,2.54e-06,7,0.0866,-9.367,1,0.0437,77.415,5,0.166,Sophisticated,3BgvCj5oUc8jpL8YCB9y8S,Sophisticated,-1.0,0.0
37,Nine Track Mind,Charlie Puth,Pop,We Don't Talk Anymore (feat. Selena Gomez),0.621,0.728,217707,0.563,0.0,1,0.179,-8.052999999999999,0,0.134,100.01700000000001,4,0.35200000000000004,Sensual,37FXw5QGFN7uwwsLy8uAc0,Sensual,0.0,0.0
38,The Diary Of Alicia Keys,Alicia Keys,Pop,If I Ain't Got You,0.603,0.609,228707,0.445,6.77e-06,7,0.10400000000000001,-9.129,1,0.106,118.39299999999999,3,0.166,Sophisticated,3XVBdLihbNbxUwZosxcGuJ,Sophisticated,-1.0,0.0
39,Is There Anybody Out There?,A Great Big World,Pop,Say Something,0.857,0.40700000000000003,229400,0.147,2.89e-06,2,0.0913,-8.822000000000001,1,0.0355,141.284,3,0.0765,Melancholy,6Vc5wAMmXdKIAM7WUoEb7N,Melancholy,-2.0,-1.0
40,Unorthodox Jukebox,Bruno Mars,Pop,When I Was Your Man,0.932,0.612,213827,0.28,0.0,0,0.08800000000000001,-8.648,1,0.0434,72.795,4,0.387,Sophisticated,0nJW01T7XtvILxQgC5J7Wh,Sophisticated,-1.0,0.0
41,Bundle of Tantrums,Jasmine Thompson,Pop,Let Her Go,0.95,0.445,172149,0.40700000000000003,0.0,3,0.22699999999999998,-6.882999999999999,1,0.0349,131.47899999999998,3,0.231,Empowering,5fa6CrQwHwthEoCvTtd5Ig,Empowering,0.0,1.0
42,Too Much To Ask,Niall Horan,Pop,Too Much To Ask,0.371,0.44299999999999995,223044,0.55,0.0,0,0.125,-6.417000000000001,1,0.040999999999999995,77.52,4,0.188,Sophisticated,2NkbRmygVirMQFCjSkyY7Q,Sophisticated,-1.0,0.0
43,Golden Slumbers,Elbow,Pop,Golden Slumbers,0.8859999999999999,0.494,144387,0.11900000000000001,0.0,0,0.106,-11.831,1,0.0271,81.805,4,0.264,Sentimental,6aVrw27a4INLfxTvbJF24k,Sentimental,-2.0,0.0
44,GEMINI,Macklemore,Pop,Good Old Days (feat. Kesha),0.446,0.7120000000000001,240507,0.51,2.46e-05,8,0.11199999999999999,-8.162,1,0.0633,122.964,4,0.268,,2Za1AlJNvksouPPWbXpR2X,,,
45,Chaos And The Calm,James Bay,Pop,Let It Go,0.804,0.568,260533,0.293,1.26e-05,1,0.107,-10.253,1,0.0313,147.175,4,0.247,Sophisticated,13HVjjWUZFaWilh2QUJKsP,Sophisticated,-1.0,0.0
46,Beautiful Trauma,P!nk,Pop,Beautiful Trauma,0.0868,0.41200000000000003,250053,0.619,2.55e-06,7,0.4,-6.39,1,0.0725,95.977,4,0.23399999999999999,Romantic,1ipE3bBLWeLkIvxWUaxpSu,Romantic,-1.0,1.0
47,+,Ed Sheeran,Pop,The A Team,0.669,0.642,258373,0.289,0.0,9,0.18,-9.918,1,0.0367,84.99600000000001,4,0.40700000000000003,Tender,1VdZ0vKfR5jneCmWIUAMxK,Tender,-2.0,1.0
48,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack [Deluxe Spotify Exclusive]),Christina Perri,Pop,A Thousand Years,0.309,0.42100000000000004,285120,0.40700000000000003,0.0009609999999999999,10,0.11,-7.445,1,0.0267,139.028,3,0.161,Empowering,1QUpqu8865jfasDr8M3IKN,Empowering,0.0,1.0
49,Back from the Edge,James Arthur,Pop,Can I Be Him,0.308,0.696,246880,0.5429999999999999,0.0,11,0.0939,-6.164,1,0.0489,107.969,4,0.479,,0VhgEqMTNZwYL1ARDLLNCX,,,
50,I Won't Give Up,Jason Mraz,Pop,I Won't Give Up,0.6940000000000001,0.585,240166,0.303,0.0,4,0.115,-10.058,1,0.0398,136.703,3,0.142,Empowering,05pKAafT85jeeNhZ6kq7HT,Empowering,0.0,1.0
51,Slow Hands,Niall Horan,Pop,Slow Hands,0.0133,0.726,188174,0.429,0.0,0,0.0574,-6.622999999999999,1,0.0519,85.899,4,0.871,Cool,27vTihlWXiz9f9lJM3XGVU,Cool,-1.0,-1.0
52,Sign of the Times,Harry Styles,Pop,Sign of the Times,0.0259,0.518,340707,0.575,0.0,5,0.109,-4.6160000000000005,1,0.0302,120.01899999999999,4,0.209,Yearning,5ELRkzdzz0HvGpMDlfZHkV,Yearning,0.0,-1.0
53,"Hey, Soul Sister",Train,Pop,"Hey, Soul Sister",0.217,0.675,216667,0.885,0.0,1,0.086,-4.4319999999999995,0,0.0436,97.03,4,0.768,Yearning,0KpfYajJVVGgQ32Dby7e9i,Yearning,0.0,-1.0
54,reputation,Taylor Swift,Pop,Delicate,0.228,0.745,232253,0.41,0.000383,9,0.0906,-10.212,0,0.0779,95.022,4,0.0596,Sensual,6NFyWDv5CjfwuzoCkw47Xf,Sensual,0.0,0.0
55,25,Adele,Pop,Water Under the Bridge,0.0189,0.596,240427,0.838,1.5399999999999998e-05,5,0.10800000000000001,-6.52,0,0.0704,94.98200000000001,4,0.47200000000000003,Yearning,4vb4mFvYsr2h6enhjJsq9Y,Yearning,0.0,-1.0
56,The Best You Had,Nina Nesbitt,Pop,The Best You Had,0.358,0.595,175061,0.608,0.0,5,0.0843,-5.303,0,0.0373,60.878,4,0.452,Yearning,5GT8b1dFaOWFF5twsmSOYx,Yearning,0.0,-1.0
57,How To Save A Life,The Fray,Pop,How to Save a Life,0.26899999999999996,0.64,262533,0.743,0.0,10,0.10099999999999999,-4.08,1,0.0379,122.035,4,0.361,Yearning,5fVZC9GiM4e8vu99W0Xf6J,Yearning,0.0,-1.0
58,When We Were Young,Adele,Pop,When We Were Young,0.348,0.381,290907,0.594,0.0,3,0.0925,-5.97,1,0.0486,143.86,4,0.273,Empowering,7A2eDNBgJrEVE87C8pOMqN,Empowering,0.0,1.0
59,19,Adele,Pop,Make You Feel My Love,0.91,0.325,212040,0.18,0.000633,10,0.113,-10.647,1,0.0311,72.416,1,0.0997,Sentimental,7rPLZ8Krm6CZIbraFUlnWZ,Sentimental,-2.0,0.0
60,Some Type Of Love,Charlie Puth,Pop,Marvin Gaye (feat. Meghan Trainor),0.41700000000000004,0.795,190453,0.616,0.0,1,0.349,-5.281000000000001,0,0.06,110.015,4,0.815,,6ukMqDxnOPOgoHdak7Kyp3,,,
61,Fifty Shades Of Grey (Original Motion Picture Soundtrack),Ellie Goulding,Pop,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.24600000000000002,0.255,250267,0.652,0.0,5,0.11900000000000001,-5.909,0,0.0614,189.63299999999998,4,0.281,Somber,1ip2IGDWMrUmlaepEbWlL8,Somber,-2.0,-2.0
62,Malibu,Miley Cyrus,Pop,Malibu,0.0577,0.565,231906,0.782,4.16e-05,8,0.0757,-6.412999999999999,1,0.0506,140.004,4,0.4,Empowering,2habSXqcJGExM6JJyskY7O,Empowering,0.0,1.0
63,The Truth About Love,P!nk,Pop,Just Give Me a Reason,0.34600000000000003,0.778,242733,0.547,0.000302,2,0.132,-7.273,1,0.0489,95.00200000000001,4,0.441,Gritty,1mKXFLRA179hdOWQBwUk9e,Gritty,-1.0,-2.0
64,Native (Deluxe),OneRepublic,Pop,Counting Stars,0.0649,0.6629999999999999,257280,0.7120000000000001,0.0,1,0.11900000000000001,-4.945,0,0.0381,122.014,4,0.48,Urgent,1fh2TfUOtOoXEE8qQynYEC,Urgent,1.0,-1.0
65,+,Ed Sheeran,Pop,Lego House,0.562,0.5920000000000001,185093,0.637,0.0,11,0.13,-8.48,1,0.0992,159.701,4,0.565,Empowering,53Pgsvu3qSYO2aXt5J2vcL,Empowering,0.0,1.0
66,13 Reasons Why (A Netflix Original Series Soundtrack),Lord Huron,Pop,The Night We Met,0.97,0.5489999999999999,206933,0.371,0.132,2,0.639,-9.56,1,0.0378,87.024,3,0.13,Sentimental,3FsBtu3gdlfZjBLXyDvmj1,Sentimental,-2.0,0.0
67,Cheers To The Fall,Andra Day,Pop,Rise Up,0.805,0.39799999999999996,253342,0.316,0.0,1,0.295,-7.031000000000001,1,0.0368,118.58200000000001,4,0.174,Empowering,0tV8pOpiNsKqUys0ilUcXz,Empowering,0.0,1.0
68,Nine Track Mind,Charlie Puth,Pop,One Call Away,0.40299999999999997,0.667,194453,0.613,0.0,1,0.115,-5.353,1,0.0344,91.024,4,0.47,Empowering,7soJgKhQTO8hLP2JPRkL5O,Empowering,0.0,1.0
69,dont smile at me,Billie Eilish,Pop,watch,0.302,0.447,177523,0.602,0.00233,0,0.107,-8.996,1,0.21899999999999997,165.041,4,0.35,Brooding,44jVYj3TXig7Cf1vkgulnQ,Brooding,1.0,-2.0
70,Send My Love (To Your New Lover),Adele,Pop,Send My Love (To Your New Lover),0.0415,0.69,223080,0.524,3.16e-06,6,0.17,-8.39,0,0.10300000000000001,164.023,4,0.562,Sensual,3LGxef3inmn5jMLGDz9lqw,Sensual,0.0,0.0
71,Camino Palmero,The Calling,Pop,Wherever You Will Go,0.0367,0.5579999999999999,208600,0.7190000000000001,0.0,2,0.115,-5.113,1,0.0267,112.027,4,0.371,Empowering,5QpaGzWp0hwB5faV8dkbAz,Empowering,0.0,1.0
72,Home To Mama,Justin Bieber,Pop,Home To Mama,0.95,0.688,203267,0.29600000000000004,0.000166,2,0.115,-11.064,1,0.0872,89.09100000000001,4,0.478,Sentimental,1qXDjWPzxa02VClFJmu6nx,Sentimental,-2.0,0.0
73,÷ (Deluxe),Ed Sheeran,Pop,Shape of You,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,4,0.9309999999999999,Energizing,7qiZfU4dY1lWllzX7mPBI3,Energizing,2.0,0.0
74,In The Lonely Hour (Deluxe),Sam Smith,Pop,Make It To Me,0.634,0.506,162732,0.37200000000000005,1.65e-06,1,0.099,-8.491,1,0.0642,150.225,4,0.23399999999999999,,2VZ8vDGBVKW5shpP3ytWSz,,,
75,The Reason,Hoobastank,Pop,The Reason,0.0129,0.47200000000000003,232800,0.6709999999999999,0.0,4,0.159,-4.649,1,0.028999999999999998,82.95200000000001,4,0.0681,Empowering,7afSN5zhUhkbpRFpYKYztK,Empowering,0.0,1.0
76,Greatest Hits Volume One - The Singles,The Goo Goo Dolls,Pop,Iris,0.00133,0.29100000000000004,289907,0.79,5.61e-06,11,0.0811,-5.683,0,0.0363,155.667,3,0.513,Empowering,6vrUTGn5p8IrfTZ0J6sIVM,Empowering,0.0,1.0
77,We Sing. We Dance. We Steal Things.,Jason Mraz,Pop,Lucky,0.29600000000000004,0.623,191360,0.41700000000000004,0.0,0,0.135,-8.699,1,0.0354,130.032,4,0.721,Gritty,0IktbUcnAGrvD03AWnz3Q8,Gritty,-1.0,-2.0
78,Lay Me Down,Sam Smith,Pop,Lay Me Down,0.336,0.59,229015,0.451,0.0,4,0.10300000000000001,-8.193999999999999,1,0.0417,129.72899999999998,4,0.33399999999999996,Sophisticated,6x69yrZAJvsYxhk0CJS4uT,Sophisticated,-1.0,0.0
79,Lay Me Down,Sam Smith,Pop,Lay Me Down,0.915,0.46299999999999997,219663,0.198,0.0,4,0.106,-11.003,1,0.0387,123.63,4,0.369,Sophisticated,5Nbe9vDQ1YJdreVIlhZEpP,Sophisticated,-1.0,0.0
80,This Town,Niall Horan,Pop,This Town,0.711,0.69,232600,0.40700000000000003,0.0,9,0.126,-7.739,1,0.0297,111.916,4,0.18100000000000002,Melancholy,5dTJMpqiELczVuHJP3OAEu,Melancholy,-2.0,-1.0
81,X & Y,Coldplay,Pop,Fix You,0.163,0.209,295533,0.418,0.00195,3,0.113,-8.74,1,0.0338,138.265,4,0.12300000000000001,Empowering,7LVHVU3tWfcxj5aiPFEW4Q,Empowering,0.0,1.0
82,Lost Without You,Freya Ridings,Pop,Lost Without You,0.9279999999999999,0.409,225076,0.13699999999999998,0.0,6,0.0706,-9.169,1,0.0446,162.08,1,0.106,Empowering,3QlF2ExmrRP0RM7ffv7y0Q,Empowering,0.0,1.0
83,x (Deluxe Edition),Ed Sheeran,Pop,I See Fire,0.638,0.6409999999999999,299147,0.17600000000000002,5.14e-06,6,0.252,-11.692,1,0.0349,76.031,4,0.297,,5pY3ovFxbvAg7reGZjJQSp,,,
84,PRISM (Deluxe),Katy Perry,Pop,Unconditionally,0.0035700000000000003,0.555,228879,0.7290000000000001,0.0,7,0.209,-4.813,1,0.0387,129.003,4,0.369,,2RPNCUaDL2ixoY9wGpoJoQ,,,
85,Rude,MAGIC!,Pop,Rude,0.0435,0.743,224773,0.807,0.0,1,0.309,-3.78,1,0.0364,144.062,4,0.899,Energizing,3tCwjWLicbjsMCvXhN0WOE,Energizing,2.0,0.0
86,Daniel Powter (U.S. Release),Daniel Powter,Pop,Bad Day,0.44799999999999995,0.599,233640,0.785,0.00336,3,0.151,-4.013,1,0.0309,140.046,4,0.52,,0mUyMawtxj1CJ76kn9gIZK,,,
87,Stargazing - EP,Kygo,Pop,Stargazing,0.152,0.677,236853,0.49700000000000005,0.0,5,0.0911,-5.763,1,0.0809,99.137,4,0.419,Romantic,0Zbbxnx4SGGHoIow4PpISP,Romantic,-1.0,1.0
88,B'Day Deluxe Edition,Beyoncé,Pop,Irreplaceable,0.0293,0.447,227853,0.6940000000000001,5.46e-06,7,0.16699999999999998,-4.637,0,0.382,175.868,4,0.509,Sensual,6RX5iL93VZ5fKmyvNXvF1r,Sensual,0.0,0.0
89,Over And Over Again,Nathan Sykes,Pop,Over And Over Again,0.9620000000000001,0.47,246896,0.271,0.0,8,0.106,-8.335,1,0.0392,129.623,4,0.38799999999999996,Empowering,1X6kxrjWVWiKMqulM8XZpj,Empowering,0.0,1.0
90,Cups (Pitch Perfect’s “When I’m Gone”),Anna Kendrick,Pop,Cups (Pitch Perfect’s “When I’m Gone”),0.0582,0.8859999999999999,126880,0.44799999999999995,0.00658,0,0.035,-8.866,1,0.11199999999999999,129.966,4,0.731,Sensual,2sCl0FFOzZSmYZs90zOpd1,Sensual,0.0,0.0
91,x (Deluxe Edition),Ed Sheeran,Pop,Tenerife Sea,0.6970000000000001,0.53,241347,0.34600000000000003,1.07e-05,8,0.105,-10.497,1,0.0376,121.876,4,0.359,,1HbcclMpw0q2WDWpdGCKdS,,,
92,Drops Of Jupiter,Train,Pop,Drops of Jupiter,0.154,0.46799999999999997,259933,0.64,0.0,0,0.154,-5.862,1,0.0275,79.297,4,0.499,Empowering,2hKdd3qO7cWr2Jo0Bcs0MA,Empowering,0.0,1.0
93,I Like Me Better,Lauv,Pop,I Like Me Better,0.535,0.752,197437,0.505,2.55e-06,9,0.10400000000000001,-7.621,1,0.253,91.97,4,0.419,,1wjzFQodRWrPcQ0AnYnvQ9,,,
94,Dream Your Life Away,Vance Joy,Pop,Mess Is Mine,0.047,0.595,223640,0.723,0.0286,7,0.0995,-8.256,1,0.0349,108.04299999999999,1,0.272,Empowering,7BVwi9cIzSc6tpyxsp47vJ,Empowering,0.0,1.0
95,Parachutes,Coldplay,Pop,Yellow,0.0023899999999999998,0.429,266773,0.6609999999999999,0.00013000000000000002,11,0.23399999999999999,-7.227,1,0.0281,173.365,4,0.285,Empowering,3AJwUDP919kvQ9QcozQPxg,Empowering,0.0,1.0
96,Little Voice,Sara Bareilles,Pop,Love Song,0.0208,0.583,258827,0.7859999999999999,0.0,2,0.188,-3.142,0,0.0301,123.052,4,0.573,Empowering,4E6cwWJWZw2zWf7VFbH7wf,Empowering,0.0,1.0
97,lovestrong.,Christina Perri,Pop,Jar of Hearts,0.726,0.349,246587,0.348,0.0,3,0.12,-6.142,1,0.0316,74.541,4,0.0886,Empowering,0HZhYMZOcUzZKSFwPOti6m,Empowering,0.0,1.0
98,Sheezus,Lily Allen,Pop,Somewhere Only We Know,0.935,0.314,208154,0.28600000000000003,0.0258,10,0.0999,-10.191,1,0.035,172.021,4,0.278,Empowering,1mvfvDZOybiEgS1ecJxt9W,Empowering,0.0,1.0
99,19,Adele,Pop,Chasing Pavements,0.325,0.615,210507,0.47200000000000003,0.0,5,0.115,-6.0729999999999995,0,0.0267,80.072,4,0.327,Sensual,59tg0OPhiHlbsVZ9GFqUk5,Sensual,0.0,0.0
100,Native (Deluxe),OneRepublic,Pop,Counting Stars,0.066,0.665,257267,0.7,0.0,1,0.11900000000000001,-4.946000000000001,0,0.042,121.961,4,0.473,Urgent,519uJbE3zyKLlToVA65PrP,Urgent,1.0,-1.0
101,Wrecking Ball,Miley Cyrus,Pop,Wrecking Ball,0.395,0.466,223240,0.40299999999999997,0.0,5,0.111,-6.142,1,0.0337,119.81,4,0.337,Empowering,6oDPg7fXW3Ug3KmbafrXzA,Empowering,0.0,1.0
102,Diamonds,Rihanna,Pop,Diamonds,0.00117,0.5529999999999999,225200,0.674,0.0,11,0.16,-6.057,0,0.045,91.958,4,0.369,,1mwt9hzaH7idmC5UCoOUkz,,,
103,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,Pop,E.T.,0.0213,0.603,206373,0.872,0.0,5,0.366,-5.404,0,0.0792,150.10399999999998,4,0.691,,4z8ssgZfs5TzKiO8HaGWXO,,,
104,Problem,Ariana Grande,Pop,Problem,0.0226,0.66,193987,0.7979999999999999,2.2e-05,1,0.10300000000000001,-5.3260000000000005,0,0.162,103.022,4,0.627,Defiant,3cySlItpiPiIAzU3NyHCJf,Defiant,2.0,-1.0
105,Rather Be (feat. Jess Glynne),Clean Bandit,Pop,Rather Be (feat. Jess Glynne),0.162,0.799,227833,0.586,2.03e-06,11,0.193,-6.735,1,0.0377,120.97,4,0.5489999999999999,,3s4U7OHV7gnj42VV72eSZ6,,,
106,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,Pop,Thrift Shop (feat. Wanz),0.0619,0.7809999999999999,235613,0.526,0.0,6,0.0457,-6.985,0,0.293,94.992,4,0.662,Cool,1CmUZGtH29Kx36C1Hleqlz,Cool,-1.0,-1.0
107,Animal + Cannibal (Deluxe Edition),Kesha,Pop,TiK ToK,0.0746,0.755,199693,0.8320000000000001,1.27e-06,2,0.29100000000000004,-2.741,0,0.11599999999999999,120.03200000000001,4,0.735,Energizing,4srpHYFHKjVGRDNHqRpWxi,Energizing,2.0,0.0
